id,common_name,ra,dec,size,mag,type
Sh2-24.0,,242.76586,-7.077277,30.0,,Nb
Sh2-140.0,,334.782653,63.285379,30.0,,Nb
Sh2-173.0,,5.466227,61.738175,30.0,,Nb
Sh2-224.0,,81.817178,42.971187,30.0,,Nb
Sh2-306.0,,112.653022,-19.109519,30.0,,Nb
NGC 6124,,246.39999999999995,-40.666666666666664,29.0,5.800000190734863,OC
NGC 2437,,115.44999999999997,-14.816666666666666,27.0,6.099999904632568,OC
NGC 2477,,118.07499999999997,-38.55,27.0,5.800000190734863,OC
NGC 6494,,269.19999999999993,-19.016666666666666,27.0,5.5,OC
NGC 6633,,276.92499999999995,6.566666666666666,27.0,4.599999904632568,OC
NGC 6121,,245.89999999999998,-26.533333333333335,26.299999237060547,5.900000095367432,Gb
NGC 6397,,265.175,-53.666666666666664,25.700000762939453,5.699999809265137,Gb
NGC 253,Sculptor Galaxy,11.899999999999999,-25.283333333333335,25.100000381469727,7.099999904632568,Gx
NGC 1981,,83.8,-4.433333333333334,25.0,4.599999904632568,OC
NGC 5460,,211.89999999999998,-48.31666666666667,25.0,5.599999904632568,OC
NGC 7039,,317.79999999999995,45.65,25.0,7.599999904632568,OC
